version,suite,round,name,sink,thread,size,pitch,aspect,paspect,width,height,depth
8.6.12,bench/image-from-value.bench,0,image from value,null,0,100000,100000,100000/1,100000/1,100000,1,1,649.822
8.6.12,bench/image-from-value.bench,0,image from value,null,0,100000,100000,10000/1,100000/1,10000,1,10,389.457
8.6.12,bench/image-from-value.bench,0,image from value,null,0,100000,100000,1000/1,100000/1,1000,1,100,387.919
8.6.12,bench/image-from-value.bench,0,image from value,null,0,100000,100000,100/1,100000/1,100,1,1000,414.659
8.6.12,bench/image-from-value.bench,0,image from value,null,0,100000,100000,10/1,100000/1,10,1,10000,394.806
8.6.12,bench/image-from-value.bench,0,image from value,null,0,100000,100000,1/1,100000/1,1,1,100000,634.748
8.6.12,bench/image-from-value.bench,0,image from value,null,0,100000,10000,1000/1,1000/1,10000,10,1,487.762
8.6.12,bench/image-from-value.bench,0,image from value,null,0,100000,10000,100/1,1000/1,1000,10,10,756.5
8.6.12,bench/image-from-value.bench,0,image from value,null,0,100000,10000,10/1,1000/1,100,10,100,411.517
8.6.12,bench/image-from-value.bench,0,image from value,null,0,100000,10000,1/10,1000/1,1,10,10000,424.936
8.6.12,bench/image-from-value.bench,0,image from value,null,0,100000,10000,1/1,1000/1,10,10,1000,387.547
8.6.12,bench/image-from-value.bench,0,image from value,null,0,100000,1000,10/1,10/1,1000,100,1,491.088
8.6.12,bench/image-from-value.bench,0,image from value,null,0,100000,1000,1/100,10/1,1,100,1000,461.207
8.6.12,bench/image-from-value.bench,0,image from value,null,0,100000,1000,1/10,10/1,10,100,100,391.079
8.6.12,bench/image-from-value.bench,0,image from value,null,0,100000,1000,1/1,10/1,100,100,10,400.713
8.6.12,bench/image-from-value.bench,0,image from value,null,0,100000,100,1/1000,1/10,1,1000,100,423.937
8.6.12,bench/image-from-value.bench,0,image from value,null,0,100000,100,1/100,1/10,10,1000,10,443.445
8.6.12,bench/image-from-value.bench,0,image from value,null,0,100000,100,1/10,1/10,100,1000,1,572.078
8.6.12,bench/image-from-value.bench,0,image from value,null,0,100000,10,1/10000,1/1000,1,10000,10,784.546
8.6.12,bench/image-from-value.bench,0,image from value,null,0,100000,10,1/1000,1/1000,10,10000,1,1189.61
8.6.12,bench/image-from-value.bench,0,image from value,null,0,100000,1,1/100000,1/100000,1,100000,1,4395.554
8.6.12,bench/image-from-value.bench,0,image from value,null,0,10000,10000,10000/1,10000/1,10000,1,1,55.985
8.6.12,bench/image-from-value.bench,0,image from value,null,0,10000,10000,1000/1,10000/1,1000,1,10,53.559
8.6.12,bench/image-from-value.bench,0,image from value,null,0,10000,10000,100/1,10000/1,100,1,100,52.134
8.6.12,bench/image-from-value.bench,0,image from value,null,0,10000,10000,10/1,10000/1,10,1,1000,41.837
8.6.12,bench/image-from-value.bench,0,image from value,null,0,10000,10000,1/1,10000/1,1,1,10000,44.111
8.6.12,bench/image-from-value.bench,0,image from value,null,0,10000,1000,100/1,100/1,1000,10,1,64.889
8.6.12,bench/image-from-value.bench,0,image from value,null,0,10000,1000,10/1,100/1,100,10,10,45.938
8.6.12,bench/image-from-value.bench,0,image from value,null,0,10000,1000,1/10,100/1,1,10,1000,42.107
8.6.12,bench/image-from-value.bench,0,image from value,null,0,10000,1000,1/1,100/1,10,10,100,48.909
8.6.12,bench/image-from-value.bench,0,image from value,null,0,10000,100,1/100,1/1,1,100,100,50.83
8.6.12,bench/image-from-value.bench,0,image from value,null,0,10000,100,1/10,1/1,10,100,10,48.925
8.6.12,bench/image-from-value.bench,0,image from value,null,0,10000,100,1/1,1/1,100,100,1,59.038
8.6.12,bench/image-from-value.bench,0,image from value,null,0,10000,10,1/1000,1/100,1,1000,10,79.596
8.6.12,bench/image-from-value.bench,0,image from value,null,0,10000,10,1/100,1/100,10,1000,1,109.04
8.6.12,bench/image-from-value.bench,0,image from value,null,0,10000,1,1/10000,1/10000,1,10000,1,440.69
8.6.12,bench/image-from-value.bench,0,image from value,null,0,1000,1000,1000/1,1000/1,1000,1,1,10.433
8.6.12,bench/image-from-value.bench,0,image from value,null,0,1000,1000,100/1,1000/1,100,1,10,10.241
8.6.12,bench/image-from-value.bench,0,image from value,null,0,1000,1000,10/1,1000/1,10,1,100,8.242
8.6.12,bench/image-from-value.bench,0,image from value,null,0,1000,1000,1/1,1000/1,1,1,1000,9.767
8.6.12,bench/image-from-value.bench,0,image from value,null,0,1000,100,10/1,10/1,100,10,1,11.145
8.6.12,bench/image-from-value.bench,0,image from value,null,0,1000,100,1/10,10/1,1,10,100,10.601
8.6.12,bench/image-from-value.bench,0,image from value,null,0,1000,100,1/1,10/1,10,10,10,9.533
8.6.12,bench/image-from-value.bench,0,image from value,null,0,1000,10,1/100,1/10,1,100,10,12.28
8.6.12,bench/image-from-value.bench,0,image from value,null,0,1000,10,1/10,1/10,10,100,1,16.394
8.6.12,bench/image-from-value.bench,0,image from value,null,0,1000,1,1/1000,1/1000,1,1000,1,51.483
8.6.12,bench/image-from-value.bench,0,image from value,null,0,100,100,100/1,100/1,100,1,1,4.363
8.6.12,bench/image-from-value.bench,0,image from value,null,0,100,100,10/1,100/1,10,1,10,4.197
8.6.12,bench/image-from-value.bench,0,image from value,null,0,100,100,1/1,100/1,1,1,100,4.147
8.6.12,bench/image-from-value.bench,0,image from value,null,0,100,10,1/10,1/1,1,10,10,4.892
8.6.12,bench/image-from-value.bench,0,image from value,null,0,100,10,1/1,1/1,10,10,1,5.44
8.6.12,bench/image-from-value.bench,0,image from value,null,0,100,1,1/100,1/100,1,100,1,11.863
8.6.12,bench/image-from-value.bench,0,image from value,null,0,10,10,10/1,10/1,10,1,1,3.465
8.6.12,bench/image-from-value.bench,0,image from value,null,0,10,10,1/1,10/1,1,1,10,3.548
8.6.12,bench/image-from-value.bench,0,image from value,null,0,10,1,1/10,1/10,1,10,1,4.485
8.6.12,bench/image-from-value.bench,0,image from value,null,0,1,1,1/1,1/1,1,1,1,1.698
8.6.12,bench/image-from-value.bench,0,image from value,null,1,100000,100000,100000/1,100000/1,100000,1,1,916.728
8.6.12,bench/image-from-value.bench,0,image from value,null,1,100000,100000,10000/1,100000/1,10000,1,10,598.57
8.6.12,bench/image-from-value.bench,0,image from value,null,1,100000,100000,1000/1,100000/1,1000,1,100,663.056
8.6.12,bench/image-from-value.bench,0,image from value,null,1,100000,100000,100/1,100000/1,100,1,1000,642.397
8.6.12,bench/image-from-value.bench,0,image from value,null,1,100000,100000,10/1,100000/1,10,1,10000,699.82
8.6.12,bench/image-from-value.bench,0,image from value,null,1,100000,100000,1/1,100000/1,1,1,100000,612.16
8.6.12,bench/image-from-value.bench,0,image from value,null,1,100000,10000,1000/1,1000/1,10000,10,1,1326.132
8.6.12,bench/image-from-value.bench,0,image from value,null,1,100000,10000,100/1,1000/1,1000,10,10,690.75
8.6.12,bench/image-from-value.bench,0,image from value,null,1,100000,10000,10/1,1000/1,100,10,100,762.954
8.6.12,bench/image-from-value.bench,0,image from value,null,1,100000,10000,1/10,1000/1,1,10,10000,714.327
8.6.12,bench/image-from-value.bench,0,image from value,null,1,100000,10000,1/1,1000/1,10,10,1000,731.113
8.6.12,bench/image-from-value.bench,0,image from value,null,1,100000,1000,10/1,10/1,1000,100,1,1084.58
8.6.12,bench/image-from-value.bench,0,image from value,null,1,100000,1000,1/100,10/1,1,100,1000,1044.895
8.6.12,bench/image-from-value.bench,0,image from value,null,1,100000,1000,1/10,10/1,10,100,100,927.496
8.6.12,bench/image-from-value.bench,0,image from value,null,1,100000,1000,1/1,10/1,100,100,10,895.861
8.6.12,bench/image-from-value.bench,0,image from value,null,1,100000,100,1/1000,1/10,1,1000,100,3111.127
8.6.12,bench/image-from-value.bench,0,image from value,null,1,100000,100,1/100,1/10,10,1000,10,2983.477
8.6.12,bench/image-from-value.bench,0,image from value,null,1,100000,100,1/10,1/10,100,1000,1,3263.203
8.6.12,bench/image-from-value.bench,0,image from value,null,1,100000,10,1/10000,1/1000,1,10000,10,23384.09
8.6.12,bench/image-from-value.bench,0,image from value,null,1,100000,10,1/1000,1/1000,10,10000,1,22750.779
8.6.12,bench/image-from-value.bench,0,image from value,null,1,100000,1,1/100000,1/100000,1,100000,1,219717.118
8.6.12,bench/image-from-value.bench,0,image from value,null,1,10000,10000,10000/1,10000/1,10000,1,1,156.306
8.6.12,bench/image-from-value.bench,0,image from value,null,1,10000,10000,1000/1,10000/1,1000,1,10,152.162
8.6.12,bench/image-from-value.bench,0,image from value,null,1,10000,10000,100/1,10000/1,100,1,100,142.504
8.6.12,bench/image-from-value.bench,0,image from value,null,1,10000,10000,10/1,10000/1,10,1,1000,144.933
8.6.12,bench/image-from-value.bench,0,image from value,null,1,10000,10000,1/1,10000/1,1,1,10000,134.444
8.6.12,bench/image-from-value.bench,0,image from value,null,1,10000,1000,100/1,100/1,1000,10,1,182.732
8.6.12,bench/image-from-value.bench,0,image from value,null,1,10000,1000,10/1,100/1,100,10,10,180.547
8.6.12,bench/image-from-value.bench,0,image from value,null,1,10000,1000,1/10,100/1,1,10,1000,166.775
8.6.12,bench/image-from-value.bench,0,image from value,null,1,10000,1000,1/1,100/1,10,10,100,178.474
8.6.12,bench/image-from-value.bench,0,image from value,null,1,10000,100,1/100,1/1,1,100,100,381.104
8.6.12,bench/image-from-value.bench,0,image from value,null,1,10000,100,1/10,1/1,10,100,10,433.345
8.6.12,bench/image-from-value.bench,0,image from value,null,1,10000,100,1/1,1/1,100,100,1,432.082
8.6.12,bench/image-from-value.bench,0,image from value,null,1,10000,10,1/1000,1/100,1,1000,10,2623.193
8.6.12,bench/image-from-value.bench,0,image from value,null,1,10000,10,1/100,1/100,10,1000,1,2599.76
8.6.12,bench/image-from-value.bench,0,image from value,null,1,10000,1,1/10000,1/10000,1,10000,1,23348.2
8.6.12,bench/image-from-value.bench,0,image from value,null,1,1000,1000,1000/1,1000/1,1000,1,1,74.859
8.6.12,bench/image-from-value.bench,0,image from value,null,1,1000,1000,100/1,1000/1,100,1,10,67.276
8.6.12,bench/image-from-value.bench,0,image from value,null,1,1000,1000,10/1,1000/1,10,1,100,70.237
8.6.12,bench/image-from-value.bench,0,image from value,null,1,1000,1000,1/1,1000/1,1,1,1000,70.189
8.6.12,bench/image-from-value.bench,0,image from value,null,1,1000,100,10/1,10/1,100,10,1,107.681
8.6.12,bench/image-from-value.bench,0,image from value,null,1,1000,100,1/10,10/1,1,10,100,104.803
8.6.12,bench/image-from-value.bench,0,image from value,null,1,1000,100,1/1,10/1,10,10,10,104.722
8.6.12,bench/image-from-value.bench,0,image from value,null,1,1000,10,1/100,1/10,1,100,10,311.509
8.6.12,bench/image-from-value.bench,0,image from value,null,1,1000,10,1/10,1/10,10,100,1,325.858
8.6.12,bench/image-from-value.bench,0,image from value,null,1,1000,1,1/1000,1/1000,1,1000,1,2638.172
8.6.12,bench/image-from-value.bench,0,image from value,null,1,100,100,100/1,100/1,100,1,1,69.158
8.6.12,bench/image-from-value.bench,0,image from value,null,1,100,100,10/1,100/1,10,1,10,72.89
8.6.12,bench/image-from-value.bench,0,image from value,null,1,100,100,1/1,100/1,1,1,100,72.957
8.6.12,bench/image-from-value.bench,0,image from value,null,1,100,10,1/10,1/1,1,10,10,98.3
8.6.12,bench/image-from-value.bench,0,image from value,null,1,100,10,1/1,1/1,10,10,1,95.651
8.6.12,bench/image-from-value.bench,0,image from value,null,1,100,1,1/100,1/100,1,100,1,344.416
8.6.12,bench/image-from-value.bench,0,image from value,null,1,10,10,10/1,10/1,10,1,1,67.341
8.6.12,bench/image-from-value.bench,0,image from value,null,1,10,10,1/1,10/1,1,1,10,66.968
8.6.12,bench/image-from-value.bench,0,image from value,null,1,10,1,1/10,1/10,1,10,1,97.308
8.6.12,bench/image-from-value.bench,0,image from value,null,1,1,1,1/1,1/1,1,1,1,62.379
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100000,100000,100000/1,100000/1,100000,1,1,1014.992
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100000,100000,10000/1,100000/1,10000,1,10,852.85
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100000,100000,1000/1,100000/1,1000,1,100,1231.245
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100000,100000,100/1,100000/1,100,1,1000,814.372
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100000,100000,10/1,100000/1,10,1,10000,807.933
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100000,100000,1/1,100000/1,1,1,100000,888.982
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100000,10000,1000/1,1000/1,10000,10,1,528.684
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100000,10000,100/1,1000/1,1000,10,10,403.006
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100000,10000,10/1,1000/1,100,10,100,431.751
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100000,10000,1/10,1000/1,1,10,10000,407.458
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100000,10000,1/1,1000/1,10,10,1000,419.008
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100000,1000,10/1,10/1,1000,100,1,656.811
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100000,1000,1/100,10/1,1,100,1000,546.987
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100000,1000,1/10,10/1,10,100,100,553.9
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100000,1000,1/1,10/1,100,100,10,565.857
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100000,100,1/1000,1/10,1,1000,100,2336.517
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100000,100,1/100,1/10,10,1000,10,2299.358
