id,aktive-file,aktive-fileold,aktive-string,aktive-stringold
0,48358.0,1183031.3,49415.5,45777.7
1,58343.8,1447722.4,65725.3,58713.1
2,58000.5,1413013.2,66366.8,53063.4
3,58835.7,1394737.7,65239.1,53792.3
4,29964.0,725335.9,32665.3,27919.3
5,18895.0,489101.1,20561.0,19650.3
6,14066.5,386650.0,16019.9,16159.6
7,12810.6,395561.5,11023.1,16063.3
8,11713.1,335518.2,9524.1,14423.0
9,10376.2,324811.6,9457.9,13832.1
10,9889.4,218595.1,10628.9,12251.7
11,9955.5,221333.0,10748.1,13163.1
12,10494.7,239925.3,11080.9,13213.3
13,11101.8,279379.0,11780.0,12347.4
14,10896.7,276915.4,11652.3,13745.9
15,11715.9,282453.3,12796.0,14143.4
16,11482.4,276190.2,11897.1,14348.6
